sta lon lat
3029.csv -74.5000 39.4435
3030.csv -74.4875 39.4435
3031.csv -74.4750 39.4435
3032.csv -74.4625 39.4435
3033.csv -74.4500 39.4435
3034.csv -74.4375 39.4435
3035.csv -74.4250 39.4435
3036.csv -74.4125 39.4435
3037.csv -74.4000 39.4435
3038.csv -74.3875 39.4435
3039.csv -74.3750 39.4435
3040.csv -74.3625 39.4435
3041.csv -74.3500 39.4435
3042.csv -74.3375 39.4435
3043.csv -74.3250 39.4435
3131.csv -74.5500 39.4532
3132.csv -74.5375 39.4532
3133.csv -74.5250 39.4532
3134.csv -74.5125 39.4532
3135.csv -74.5000 39.4532
3136.csv -74.4875 39.4532
3137.csv -74.4750 39.4532
3138.csv -74.4625 39.4532
3139.csv -74.4500 39.4532
3140.csv -74.4375 39.4532
3141.csv -74.4250 39.4532
3142.csv -74.4125 39.4532
3143.csv -74.4000 39.4532
3144.csv -74.3875 39.4532
3145.csv -74.3750 39.4532
3146.csv -74.3625 39.4532
3147.csv -74.3500 39.4532
3148.csv -74.3375 39.4532
3149.csv -74.3250 39.4532
