Occupancy,FIRM,Flood Zone,Total loss ratio (%),Foundation (%),Below First Floor (%),Structure Framing (%),Roof Covering (%),Roof Framing (%),Exterior Walls (%),Interiors (%)
COM5,1,V ,90,0,0,0,0,0,0,89.99
COM5,1,V ,100,0,0,0,0,0,0,99.99
COM6,0,A ,0,0,0,0,0,0,0,0
COM6,0,A ,10,0,0,0,0,0,0,10
COM6,0,A ,20,0,0,0,0,0,0,20
COM6,0,A ,30,0,0,0,0,0,0,30
COM6,0,A ,40,0,0,0,0,0,0,40
COM6,0,A ,50,0,0,0,0,0,0,50
COM6,0,A ,60,0,0,0,0,0,0,60
COM6,0,A ,70,0,0,0,0,0,0,70
COM6,0,A ,80,0,0,0,0,0,0,80
COM6,0,A ,90,0,0,0,0,0,0,90
COM6,0,A ,100,0,0,0,0,0,0,100
COM6,0,CA,0,0,0,0,0,0,0,0
COM6,0,CA,10,0,0,0,0,0,0,10
COM6,0,CA,20,0,0,0,0,0,0,20
COM6,0,CA,30,0,0,0,0,0,0,30
COM6,0,CA,40,0,0,0,0,0,0,40
COM6,0,CA,50,0,0,0,0,0,0,50
COM6,0,CA,60,0,0,0,0,0,0,60
COM6,0,CA,70,0,0,0,0,0,0,70
COM6,0,CA,80,0,0,0,0,0,0,80
COM6,0,CA,90,0,0,0,0,0,0,90
COM6,0,CA,100,0,0,0,0,0,0,100
COM6,0,V ,0,0,0,0,0,0,0,0
COM6,0,V ,10,0,0,0,0,0,0,10
COM6,0,V ,20,0,0,0,0,0,0,20
COM6,0,V ,30,0,0,0,0,0,0,30
COM6,0,V ,40,0,0,0,0,0,0,40
COM6,0,V ,50,0,0,0,0,0,0,50
COM6,0,V ,60,0,0,0,0,0,0,60
COM6,0,V ,70,0,0,0,0,0,0,70
COM6,0,V ,80,0,0,0,0,0,0,80
COM6,0,V ,90,0,0,0,0,0,0,90
COM6,0,V ,100,0,0,0,0,0,0,100
COM6,1,A ,0,0,0,0,0,0,0,0
COM6,1,A ,10,0,0,0,0,0,0,10
COM6,1,A ,20,0,0,0,0,0,0,20
COM6,1,A ,30,0,0,0,0,0,0,30
COM6,1,A ,40,0,0,0,0,0,0,40
COM6,1,A ,50,0,0,0,0,0,0,50
COM6,1,A ,60,0,0,0,0,0,0,60
COM6,1,A ,70,0,0,0,0,0,0,70
COM6,1,A ,80,0,0,0,0,0,0,80
COM6,1,A ,90,0,0,0,0,0,0,90
COM6,1,A ,100,0,0,0,0,0,0,100
COM6,1,CA,0,0,0,0,0,0,0,0
COM6,1,CA,10,0,0,0,0,0,0,10
COM6,1,CA,20,0,0,0,0,0,0,20
COM6,1,CA,30,0,0,0,0,0,0,30
COM6,1,CA,40,0,0,0,0,0,0,40
COM6,1,CA,50,0,0,0,0,0,0,50
COM6,1,CA,60,0,0,0,0,0,0,60
COM6,1,CA,70,0,0,0,0,0,0,70
COM6,1,CA,80,0,0,0,0,0,0,80
COM6,1,CA,90,0,0,0,0,0,0,90
COM6,1,CA,100,0,0,0,0,0,0,100
COM6,1,V ,0,0,0,0,0,0,0,0
COM6,1,V ,10,0,0,0,0,0,0,10
COM6,1,V ,20,0,0,0,0,0,0,20
COM6,1,V ,30,0,0,0,0,0,0,30
COM6,1,V ,40,0,0,0,0,0,0,40
COM6,1,V ,50,0,0,0,0,0,0,50
COM6,1,V ,60,0,0,0,0,0,0,60
COM6,1,V ,70,0,0,0,0,0,0,70
COM6,1,V ,80,0,0,0,0,0,0,80
COM6,1,V ,90,0,0,0,0,0,0,90
COM6,1,V ,100,0,0,0,0,0,0,100
COM7,0,A ,0,0,0,0,0,0,0,0
COM7,0,A ,10,0,0,0,0,0,0,10
COM7,0,A ,20,0,0,0,0,0,0,20
COM7,0,A ,30,0,0,0,0,0,0,30
COM7,0,A ,40,0,0,0,0,0,0,40
COM7,0,A ,50,0,0,0,0,0,0,50
COM7,0,A ,60,0,0,0,0,0,0.01,59.99
COM7,0,A ,70,0,0,0,0,0,0.01,69.99
COM7,0,A ,80,0,0,0,0,0,0.01,79.99
COM7,0,A ,90,0,0,0,0,0,0.01,89.99
COM7,0,A ,100,0,0,0,0,0,0.01,99.99
COM7,0,CA,0,0,0,0,0,0,0,0
COM7,0,CA,10,0,0,0,0,0,0,10
COM7,0,CA,20,0,0,0,0,0,0,20
COM7,0,CA,30,0,0,0,0,0,0,30
COM7,0,CA,40,0,0,0,0,0,0,40
COM7,0,CA,50,0,0,0,0,0,0,50
COM7,0,CA,60,0,0,0,0,0,0.01,59.99
COM7,0,CA,70,0,0,0,0,0,0.01,69.99
COM7,0,CA,80,0,0,0,0,0,0.01,79.99
COM7,0,CA,90,0,0,0,0,0,0.01,89.99
COM7,0,CA,100,0,0,0,0,0,0.01,99.99
COM7,0,V ,0,0,0,0,0,0,0,0
COM7,0,V ,10,0,0,0,0,0,0,10
COM7,0,V ,20,0,0,0,0,0,0,20
COM7,0,V ,30,0,0,0,0,0,0,30
COM7,0,V ,40,0,0,0,0,0,0,40
COM7,0,V ,50,0,0,0,0,0,0,50
COM7,0,V ,60,0,0,0,0,0,0.01,59.99
COM7,0,V ,70,0,0,0,0,0,0.01,69.99
COM7,0,V ,80,0,0,0,0,0,0.01,79.99
COM7,0,V ,90,0,0,0,0,0,0.01,89.99
COM7,0,V ,100,0,0,0,0,0,0.01,99.99
COM7,1,A ,0,0,0,0,0,0,0,0
COM7,1,A ,10,0,0,0,0,0,0,10
COM7,1,A ,20,0,0,0,0,0,0,20
COM7,1,A ,30,0,0,0,0,0,0,30
COM7,1,A ,40,0,0,0,0,0,0,40
COM7,1,A ,50,0,0,0,0,0,0,50
COM7,1,A ,60,0,0,0,0,0,0,60
COM7,1,A ,70,0,0,0,0,0,0,70
COM7,1,A ,80,0,0,0,0,0,0.01,79.99
COM7,1,A ,90,0,0,0,0,0,0.01,89.99
COM7,1,A ,100,0,0,0,0,0,0.01,99.99
COM7,1,CA,0,0,0,0,0,0,0,0
COM7,1,CA,10,0,0,0,0,0,0,10
COM7,1,CA,20,0,0,0,0,0,0,20
COM7,1,CA,30,0,0,0,0,0,0,30
COM7,1,CA,40,0,0,0,0,0,0,40
COM7,1,CA,50,0,0,0,0,0,0,50
COM7,1,CA,60,0,0,0,0,0,0,60
COM7,1,CA,70,0,0,0,0,0,0,70
COM7,1,CA,80,0,0,0,0,0,0,80
COM7,1,CA,90,0,0,0,0,0,0,90
COM7,1,CA,100,0,0,0,0,0,0.01,99.99
COM7,1,V ,0,0,0,0,0,0,0,0
COM7,1,V ,10,0,0,0,0,0,0,10
COM7,1,V ,20,0,0,0,0,0,0,20
COM7,1,V ,30,0,0,0,0,0,0,30
COM7,1,V ,40,0,0,0,0,0,0,40
COM7,1,V ,50,0,0,0,0,0,0,50
COM7,1,V ,60,0,0,0,0,0,0,60
COM7,1,V ,70,0,0,0,0,0,0,70
COM7,1,V ,80,0,0,0,0,0,0,80
COM7,1,V ,90,0,0,0,0,0,0,90
COM7,1,V ,100,0,0,0,0,0,0.01,99.99
COM8,0,A ,0,0,0,0,0,0,0,0
COM8,0,A ,10,0,0,0,0,0,0,10
COM8,0,A ,20,0,0,0,0,0,0,20
COM8,0,A ,30,0,0,0,0,0,0,30
COM8,0,A ,40,0,0,0,0,0,0,40
COM8,0,A ,50,0,0,0,0,0,0,50
COM8,0,A ,60,0,0,0,0,0,0,60
COM8,0,A ,70,0,0,0,0,0,0,70
COM8,0,A ,80,0,0,0,0,0,0,80
COM8,0,A ,90,0,0,0,0,0,0,90
COM8,0,A ,100,0,0,0,0,0,0,99.99
COM8,0,CA,0,0,0,0,0,0,0,0
COM8,0,CA,10,0,0,0,0,0,0,10
COM8,0,CA,20,0,0,0,0,0,0,20
COM8,0,CA,30,0,0,0,0,0,0,30
COM8,0,CA,40,0,0,0,0,0,0,40
COM8,0,CA,50,0,0,0,0,0,0,50
COM8,0,CA,60,0,0,0,0,0,0,60
COM8,0,CA,70,0,0,0,0,0,0,70
COM8,0,CA,80,0,0,0,0,0,0,80
COM8,0,CA,90,0,0,0,0,0,0,90
COM8,0,CA,100,0,0,0,0,0,0,99.99
COM8,0,V ,0,0,0,0,0,0,0,0
COM8,0,V ,10,0,0,0,0,0,0,10
COM8,0,V ,20,0,0,0,0,0,0,20
COM8,0,V ,30,0,0,0,0,0,0,30
COM8,0,V ,40,0,0,0,0,0,0,40
COM8,0,V ,50,0,0,0,0,0,0,50
COM8,0,V ,60,0,0,0,0,0,0,60
COM8,0,V ,70,0,0,0,0,0,0,70
COM8,0,V ,80,0,0,0,0,0,0,80
COM8,0,V ,90,0,0,0,0,0,0,90
COM8,0,V ,100,0,0,0,0,0,0,99.99
COM8,1,A ,0,0,0,0,0,0,0,0
COM8,1,A ,10,0,0,0,0,0,0,10
COM8,1,A ,20,0,0,0,0,0,0,20
COM8,1,A ,30,0,0,0,0,0,0,30
COM8,1,A ,40,0,0,0,0,0,0,40
COM8,1,A ,50,0,0,0,0,0,0,50
COM8,1,A ,60,0,0,0,0,0,0,60
COM8,1,A ,70,0,0,0,0,0,0,70
COM8,1,A ,80,0,0,0,0,0,0,80
COM8,1,A ,90,0,0,0,0,0,0,90
COM8,1,A ,100,0.01,0,0,0,0,0,99.98
COM8,1,CA,0,0,0,0,0,0,0,0
COM8,1,CA,10,0,0,0,0,0,0,10
COM8,1,CA,20,0,0,0,0,0,0,20
COM8,1,CA,30,0,0,0,0,0,0,30
COM8,1,CA,40,0,0,0,0,0,0,40
COM8,1,CA,50,0,0,0,0,0,0,50
COM8,1,CA,60,0,0,0,0,0,0,60
COM8,1,CA,70,0,0,0,0,0,0,70
COM8,1,CA,80,0,0,0,0,0,0,79.99
COM8,1,CA,90,0.01,0,0,0,0,0,89.99
COM8,1,CA,100,0.01,0,0,0,0,0,99.98
COM8,1,V ,0,0,0,0,0,0,0,0
COM8,1,V ,10,0,0,0,0,0,0,10
COM8,1,V ,20,0,0,0,0,0,0,20
COM8,1,V ,30,0,0,0,0,0,0,30
COM8,1,V ,40,0,0,0,0,0,0,40
COM8,1,V ,50,0,0,0,0,0,0,50
COM8,1,V ,60,0,0,0,0,0,0,60
COM8,1,V ,70,0,0,0,0,0,0,70
COM8,1,V ,80,0,0,0,0,0,0,79.99
COM8,1,V ,90,0.01,0,0,0,0,0,89.99
COM8,1,V ,100,0.01,0,0,0,0,0,99.98
COM9,0,A ,0,0,0,0,0,0,0,0
COM9,0,A ,10,0,0,0,0,0,0,10
COM9,0,A ,20,0,0,0,0,0,0,20
COM9,0,A ,30,0,0,0,0,0,0,30
COM9,0,A ,40,0,0,0,0,0,0,40
COM9,0,A ,50,0,0,0,0,0,0,50
COM9,0,A ,60,0,0,0,0,0,0,60
COM9,0,A ,70,0,0,0,0,0,0,70
COM9,0,A ,80,0,0,0,0,0,0,80
COM9,0,A ,90,0,0,0,0,0,0.01,89.99
COM9,0,A ,100,0,0,0,0,0,0.01,99.99
COM9,0,CA,0,0,0,0,0,0,0,0
COM9,0,CA,10,0,0,0,0,0,0,10
COM9,0,CA,20,0,0,0,0,0,0,20
COM9,0,CA,30,0,0,0,0,0,0,30
COM9,0,CA,40,0,0,0,0,0,0,40
COM9,0,CA,50,0,0,0,0,0,0,50
COM9,0,CA,60,0,0,0,0,0,0,59.99
COM9,0,CA,70,0,0,0,0,0,0.01,69.99
COM9,0,CA,80,0,0,0,0,0,0.01,79.99
COM9,0,CA,90,0,0,0,0,0,0.01,89.99
COM9,0,CA,100,0,0,0,0,0,0.01,99.99
COM9,0,V ,0,0,0,0,0,0,0,0
COM9,0,V ,10,0,0,0,0,0,0,10
COM9,0,V ,20,0,0,0,0,0,0,20
COM9,0,V ,30,0,0,0,0,0,0,30
COM9,0,V ,40,0,0,0,0,0,0,40
COM9,0,V ,50,0,0,0,0,0,0,50
COM9,0,V ,60,0,0,0,0,0,0,59.99
COM9,0,V ,70,0,0,0,0,0,0.01,69.99
COM9,0,V ,80,0,0,0,0,0,0.01,79.99
COM9,0,V ,90,0,0,0,0,0,0.01,89.99
COM9,0,V ,100,0,0,0,0,0,0.01,99.99
COM9,1,A ,0,0,0,0,0,0,0,0
COM9,1,A ,10,0,0,0,0,0,0,10
COM9,1,A ,20,0,0,0,0,0,0,20
COM9,1,A ,30,0,0,0,0,0,0,30
COM9,1,A ,40,0,0,0,0,0,0,40
COM9,1,A ,50,0,0,0,0,0,0,50
COM9,1,A ,60,0,0,0,0,0,0,60
COM9,1,A ,70,0,0,0,0,0,0,70
COM9,1,A ,80,0,0,0,0,0,0,79.99
COM9,1,A ,90,0,0,0,0,0,0.01,89.99
COM9,1,A ,100,0,0,0,0,0,0.01,99.98
COM9,1,CA,0,0,0,0,0,0,0,0
COM9,1,CA,10,0,0,0,0,0,0,10
COM9,1,CA,20,0,0,0,0,0,0,20
COM9,1,CA,30,0,0,0,0,0,0,30
COM9,1,CA,40,0,0,0,0,0,0,40
COM9,1,CA,50,0,0,0,0,0,0,50
COM9,1,CA,60,0,0,0,0,0,0,60
COM9,1,CA,70,0,0,0,0,0,0,69.99
COM9,1,CA,80,0,0,0,0,0,0,79.99
COM9,1,CA,90,0,0,0,0,0,0.01,89.99
COM9,1,CA,100,0,0,0,0,0,0.01,99.99
COM9,1,V ,0,0,0,0,0,0,0,0
COM9,1,V ,10,0,0,0,0,0,0,10
COM9,1,V ,20,0,0,0,0,0,0,20
COM9,1,V ,30,0,0,0,0,0,0,30
COM9,1,V ,40,0,0,0,0,0,0,40
COM9,1,V ,50,0,0,0,0,0,0,50
COM9,1,V ,60,0,0,0,0,0,0,60
COM9,1,V ,70,0,0,0,0,0,0,69.99
COM9,1,V ,80,0,0,0,0,0,0,79.99
COM9,1,V ,90,0,0,0,0,0,0.01,89.99
COM9,1,V ,100,0,0,0,0,0,0.01,99.99
EDU1,0,A ,0,0,0,0,0,0,0,0
EDU1,0,A ,10,0,0,0,0,0,0,10
EDU1,0,A ,20,0,0,0,0,0,0,20
EDU1,0,A ,30,0,0,0,0,0,0,30
EDU1,0,A ,40,0,0,0,0,0,0,40
EDU1,0,A ,50,0,0,0,0,0,0,50
EDU1,0,A ,60,0,0,0,0,0,0,60
EDU1,0,A ,70,0,0,0,0,0,0,70
EDU1,0,A ,80,0,0,0,0,0,0,80
EDU1,0,A ,90,0,0,0,0,0,0,89.99
EDU1,0,A ,100,0,0,0.01,0,0,0.01,99.99
EDU1,0,CA,0,0,0,0,0,0,0,0
EDU1,0,CA,10,0,0,0,0,0,0,10
EDU1,0,CA,20,0,0,0,0,0,0,20
EDU1,0,CA,30,0,0,0,0,0,0,30
EDU1,0,CA,40,0,0,0,0,0,0,40
EDU1,0,CA,50,0,0,0,0,0,0,49.99
EDU1,0,CA,60,0,0,0,0,0,0,59.99
EDU1,0,CA,70,0,0,0.01,0,0,0,69.99
EDU1,0,CA,80,0,0,0.01,0,0,0.01,79.99
EDU1,0,CA,90,0,0,0.01,0,0,0.01,89.99
EDU1,0,CA,100,0,0,0.01,0,0,0.01,99.99
EDU1,0,V ,0,0,0,0,0,0,0,0
EDU1,0,V ,10,0,0,0,0,0,0,10
EDU1,0,V ,20,0,0,0,0,0,0,20
EDU1,0,V ,30,0,0,0,0,0,0,30
EDU1,0,V ,40,0,0,0,0,0,0,40
EDU1,0,V ,50,0,0,0,0,0,0,49.99
EDU1,0,V ,60,0,0,0,0,0,0,59.99
EDU1,0,V ,70,0,0,0.01,0,0,0,69.99
EDU1,0,V ,80,0,0,0.01,0,0,0.01,79.99
EDU1,0,V ,90,0,0,0.01,0,0,0.01,89.99
EDU1,0,V ,100,0,0,0.01,0,0,0.01,99.99
EDU1,1,A ,0,0,0,0,0,0,0,0
EDU1,1,A ,10,0,0,0,0,0,0,10
EDU1,1,A ,20,0,0,0,0,0,0,20
EDU1,1,A ,30,0,0,0,0,0,0,30
EDU1,1,A ,40,0,0,0,0,0,0,40
EDU1,1,A ,50,0,0,0,0,0,0,50
EDU1,1,A ,60,0,0,0,0,0,0,60
EDU1,1,A ,70,0,0,0,0,0,0,70
EDU1,1,A ,80,0,0,0,0,0,0,80
EDU1,1,A ,90,0,0,0,0,0,0,89.99
EDU1,1,A ,100,0,0,0.01,0,0,0,99.99
EDU1,1,CA,0,0,0,0,0,0,0,0
EDU1,1,CA,10,0,0,0,0,0,0,10
EDU1,1,CA,20,0,0,0,0,0,0,20
EDU1,1,CA,30,0,0,0,0,0,0,30
EDU1,1,CA,40,0,0,0,0,0,0,40
EDU1,1,CA,50,0,0,0,0,0,0,50
EDU1,1,CA,60,0,0,0,0,0,0,59.99
EDU1,1,CA,70,0,0,0,0,0,0,69.99
EDU1,1,CA,80,0,0,0.01,0,0,0,79.99
EDU1,1,CA,90,0,0,0.01,0,0,0,89.99
EDU1,1,CA,100,0,0,0.01,0,0,0,99.99
EDU1,1,V ,0,0,0,0,0,0,0,0
EDU1,1,V ,10,0,0,0,0,0,0,10
EDU1,1,V ,20,0,0,0,0,0,0,20
EDU1,1,V ,30,0,0,0,0,0,0,30
EDU1,1,V ,40,0,0,0,0,0,0,40
EDU1,1,V ,50,0,0,0,0,0,0,50
EDU1,1,V ,60,0,0,0,0,0,0,59.99
EDU1,1,V ,70,0,0,0,0,0,0,69.99
EDU1,1,V ,80,0,0,0.01,0,0,0,79.99
EDU1,1,V ,90,0,0,0.01,0,0,0,89.99
EDU1,1,V ,100,0,0,0.01,0,0,0,99.99
EDU2,0,A ,0,0,0,0,0,0,0,0
EDU2,0,A ,10,0,0,0,0,0,0,10
EDU2,0,A ,20,0,0,0,0,0,0,20
EDU2,0,A ,30,0,0,0,0,0,0,30
EDU2,0,A ,40,0,0,0,0,0,0,40
EDU2,0,A ,50,0,0,0,0,0,0,50
EDU2,0,A ,60,0,0,0,0,0,0,60
EDU2,0,A ,70,0,0,0,0,0,0,70
EDU2,0,A ,80,0,0,0,0,0,0,80
EDU2,0,A ,90,0,0,0,0,0,0,90
EDU2,0,A ,100,0,0,0,0,0,0,100
EDU2,0,CA,0,0,0,0,0,0,0,0
EDU2,0,CA,10,0,0,0,0,0,0,10
EDU2,0,CA,20,0,0,0,0,0,0,20
EDU2,0,CA,30,0,0,0,0,0,0,30
EDU2,0,CA,40,0,0,0,0,0,0,40
EDU2,0,CA,50,0,0,0,0,0,0,50
EDU2,0,CA,60,0,0,0,0,0,0,60
EDU2,0,CA,70,0,0,0,0,0,0,70
EDU2,0,CA,80,0,0,0,0,0,0,80
EDU2,0,CA,90,0,0,0,0,0,0,90
EDU2,0,CA,100,0,0,0,0,0,0,100
EDU2,0,V ,0,0,0,0,0,0,0,0
EDU2,0,V ,10,0,0,0,0,0,0,10
EDU2,0,V ,20,0,0,0,0,0,0,20
EDU2,0,V ,30,0,0,0,0,0,0,30
EDU2,0,V ,40,0,0,0,0,0,0,40
EDU2,0,V ,50,0,0,0,0,0,0,50
EDU2,0,V ,60,0,0,0,0,0,0,60
EDU2,0,V ,70,0,0,0,0,0,0,70
EDU2,0,V ,80,0,0,0,0,0,0,80
EDU2,0,V ,90,0,0,0,0,0,0,90
EDU2,0,V ,100,0,0,0,0,0,0,100
EDU2,1,A ,0,0,0,0,0,0,0,0
EDU2,1,A ,10,0,0,0,0,0,0,10
EDU2,1,A ,20,0,0,0,0,0,0,20
EDU2,1,A ,30,0,0,0,0,0,0,30
EDU2,1,A ,40,0,0,0,0,0,0,40
EDU2,1,A ,50,0,0,0,0,0,0,50
EDU2,1,A ,60,0,0,0,0,0,0,60
EDU2,1,A ,70,0,0,0,0,0,0,70
EDU2,1,A ,80,0,0,0,0,0,0,80
EDU2,1,A ,90,0,0,0,0,0,0,90
EDU2,1,A ,100,0,0,0,0,0,0,100
EDU2,1,CA,0,0,0,0,0,0,0,0
EDU2,1,CA,10,0,0,0,0,0,0,10
EDU2,1,CA,20,0,0,0,0,0,0,20
EDU2,1,CA,30,0,0,0,0,0,0,30
EDU2,1,CA,40,0,0,0,0,0,0,40
EDU2,1,CA,50,0,0,0,0,0,0,50
EDU2,1,CA,60,0,0,0,0,0,0,60
EDU2,1,CA,70,0,0,0,0,0,0,70
EDU2,1,CA,80,0,0,0,0,0,0,80
EDU2,1,CA,90,0,0,0,0,0,0,90
EDU2,1,CA,100,0,0,0,0,0,0,100
EDU2,1,V ,0,0,0,0,0,0,0,0
EDU2,1,V ,10,0,0,0,0,0,0,10
EDU2,1,V ,20,0,0,0,0,0,0,20
EDU2,1,V ,30,0,0,0,0,0,0,30
EDU2,1,V ,40,0,0,0,0,0,0,40
EDU2,1,V ,50,0,0,0,0,0,0,50
EDU2,1,V ,60,0,0,0,0,0,0,60
EDU2,1,V ,70,0,0,0,0,0,0,70
EDU2,1,V ,80,0,0,0,0,0,0,80
EDU2,1,V ,90,0,0,0,0,0,0,90
EDU2,1,V ,100,0,0,0,0,0,0,100
GOV1,0,A ,0,0,0,0,0,0,0,0
GOV1,0,A ,10,0,0,0,0,0,0,10
GOV1,0,A ,20,0,0,0,0,0,0,20
GOV1,0,A ,30,0,0,0,0,0,0,30
GOV1,0,A ,40,0,0,0,0,0,0,40
GOV1,0,A ,50,0,0,0,0,0,0,50
GOV1,0,A ,60,0,0,0,0,0,0,60
GOV1,0,A ,70,0,0,0,0,0,0,70
GOV1,0,A ,80,0,0,0.01,0,0,0,79.99
GOV1,0,A ,90,0,0,0.01,0,0,0,89.99
GOV1,0,A ,100,0,0,0.01,0,0,0,99.98
GOV1,0,CA,0,0,0,0,0,0,0,0
GOV1,0,CA,10,0,0,0,0,0,0,10
GOV1,0,CA,20,0,0,0,0,0,0,20
GOV1,0,CA,30,0,0,0,0,0,0,30
GOV1,0,CA,40,0,0,0,0,0,0,40
GOV1,0,CA,50,0,0,0,0,0,0,49.99
GOV1,0,CA,60,0,0,0.01,0,0,0,59.99
GOV1,0,CA,70,0,0,0.01,0,0,0,69.99
GOV1,0,CA,80,0,0,0.01,0,0,0,79.98
GOV1,0,CA,90,0,0,0.01,0,0,0,89.98
GOV1,0,CA,100,0,0,0.01,0,0,0,99.98
GOV1,0,V ,0,0,0,0,0,0,0,0
GOV1,0,V ,10,0,0,0,0,0,0,10
GOV1,0,V ,20,0,0,0,0,0,0,20
GOV1,0,V ,30,0,0,0,0,0,0,30
GOV1,0,V ,40,0,0,0,0,0,0,40
GOV1,0,V ,50,0,0,0,0,0,0,49.99
GOV1,0,V ,60,0,0,0.01,0,0,0,59.99
GOV1,0,V ,70,0,0,0.01,0,0,0,69.99
GOV1,0,V ,80,0,0,0.01,0,0,0,79.98
GOV1,0,V ,90,0,0,0.01,0,0,0,89.98
GOV1,0,V ,100,0,0,0.01,0,0,0,99.98
GOV1,1,A ,0,0,0,0,0,0,0,0
GOV1,1,A ,10,0,0,0,0,0,0,10
GOV1,1,A ,20,0,0,0,0,0,0,20
GOV1,1,A ,30,0,0,0,0,0,0,30
GOV1,1,A ,40,0,0,0,0,0,0,40
GOV1,1,A ,50,0,0,0,0,0,0,50
GOV1,1,A ,60,0,0,0,0,0,0,60
GOV1,1,A ,70,0,0,0,0,0,0,70
GOV1,1,A ,80,0,0,0,0,0,0,80
GOV1,1,A ,90,0.01,0,0.01,0,0,0,89.98
GOV1,1,A ,100,0.01,0,0.02,0,0,0,99.97
GOV1,1,CA,0,0,0,0,0,0,0,0
GOV1,1,CA,10,0,0,0,0,0,0,10
GOV1,1,CA,20,0,0,0,0,0,0,20
GOV1,1,CA,30,0,0,0,0,0,0,30
GOV1,1,CA,40,0,0,0,0,0,0,40
GOV1,1,CA,50,0,0,0,0,0,0,50
GOV1,1,CA,60,0,0,0.01,0,0,0,59.99
GOV1,1,CA,70,0.01,0,0.01,0,0,0,69.98
GOV1,1,CA,80,0.01,0,0.01,0,0,0,79.98
GOV1,1,CA,90,0.01,0,0.01,0,0,0,89.98
GOV1,1,CA,100,0.03,0,0.01,0,0,0,99.95
GOV1,1,V ,0,0,0,0,0,0,0,0
GOV1,1,V ,10,0,0,0,0,0,0,10
GOV1,1,V ,20,0,0,0,0,0,0,20
GOV1,1,V ,30,0,0,0,0,0,0,30
GOV1,1,V ,40,0,0,0,0,0,0,40
GOV1,1,V ,50,0,0,0,0,0,0,49.99
GOV1,1,V ,60,0,0,0.01,0,0,0,59.99
GOV1,1,V ,70,0.01,0,0.01,0,0,0,69.98
GOV1,1,V ,80,0.01,0,0.01,0,0,0,79.98
GOV1,1,V ,90,0.01,0,0.01,0,0,0,89.98
GOV1,1,V ,100,0.03,0,0.01,0,0,0,99.95
GOV2,0,A ,0,0,0,0,0,0,0,0
GOV2,0,A ,10,0,0,0,0,0,0,10
GOV2,0,A ,20,0,0,0,0,0,0,20
GOV2,0,A ,30,0,0,0,0,0,0.01,29.99
GOV2,0,A ,40,0,0,0,0,0,0.01,39.99
GOV2,0,A ,50,0,0,0,0,0,0.01,49.99
GOV2,0,A ,60,0,0,0,0,0,0.01,59.99
GOV2,0,A ,70,0,0,0,0,0,0.01,69.99
GOV2,0,A ,80,0,0,0.01,0,0,0.02,79.97
GOV2,0,A ,90,0,0,0.01,0,0,0.02,89.97
GOV2,0,A ,100,0,0,0.02,0,0,0.02,99.96
GOV2,0,CA,0,0,0,0,0,0,0,0
GOV2,0,CA,10,0,0,0,0,0,0,10
GOV2,0,CA,20,0,0,0,0,0,0,19.99
GOV2,0,CA,30,0,0,0.01,0,0,0.01,29.99
GOV2,0,CA,40,0,0,0.01,0,0,0.01,39.98
GOV2,0,CA,50,0,0,0.01,0,0,0.01,49.98
GOV2,0,CA,60,0,0,0.02,0,0,0.01,59.97
GOV2,0,CA,70,0,0,0.02,0,0,0.01,69.97
GOV2,0,CA,80,0,0,0.02,0,0,0.01,79.96
GOV2,0,CA,90,0,0,0.02,0,0,0.02,89.96
GOV2,0,CA,100,0,0,0.03,0,0,0.02,99.96
GOV2,0,V ,0,0,0,0,0,0,0,0
GOV2,0,V ,10,0,0,0,0,0,0,10
GOV2,0,V ,20,0,0,0,0,0,0,19.99
GOV2,0,V ,30,0,0,0.01,0,0,0.01,29.99
GOV2,0,V ,40,0,0,0.01,0,0,0.01,39.98
GOV2,0,V ,50,0,0,0.01,0,0,0.01,49.98
GOV2,0,V ,60,0,0,0.02,0,0,0.01,59.97
GOV2,0,V ,70,0,0,0.02,0,0,0.01,69.97
GOV2,0,V ,80,0,0,0.02,0,0,0.01,79.96
GOV2,0,V ,90,0,0,0.02,0,0,0.02,89.96
GOV2,0,V ,100,0,0,0.02,0,0,0.02,99.96
GOV2,1,A ,0,0,0,0,0,0,0,0
GOV2,1,A ,10,0,0,0,0,0,0,10
GOV2,1,A ,20,0,0,0,0,0,0,20
GOV2,1,A ,30,0,0,0,0,0,0.01,29.99
GOV2,1,A ,40,0,0,0,0,0,0.01,39.99
GOV2,1,A ,50,0,0,0,0,0,0.01,49.99
GOV2,1,A ,60,0,0,0,0,0,0.01,59.99
GOV2,1,A ,70,0,0,0,0,0,0.01,69.99
GOV2,1,A ,80,0,0,0,0,0,0.01,79.98
GOV2,1,A ,90,0,0,0.01,0,0,0.01,89.98
GOV2,1,A ,100,0,0,0.02,0,0,0.02,99.96
GOV2,1,CA,0,0,0,0,0,0,0,0
GOV2,1,CA,10,0,0,0,0,0,0,10
GOV2,1,CA,20,0,0,0,0,0,0,19.99
GOV2,1,CA,30,0,0,0,0,0,0.01,29.99
GOV2,1,CA,40,0,0,0.01,0,0,0.01,39.99
GOV2,1,CA,50,0,0,0.01,0,0,0.01,49.98
GOV2,1,CA,60,0,0,0.01,0,0,0.01,59.98
GOV2,1,CA,70,0,0,0.02,0,0,0.01,69.97
GOV2,1,CA,80,0,0,0.02,0,0,0.01,79.97
GOV2,1,CA,90,0,0,0.02,0,0,0.01,89.96
GOV2,1,CA,100,0,0,0.02,0,0,0.02,99.96
GOV2,1,V ,0,0,0,0,0,0,0,0
