Occupancy,FIRM,Flood Zone,Total loss ratio (%),Foundation (%),Below First Floor (%),Structure Framing (%),Roof Covering (%),Roof Framing (%),Exterior Walls (%),Interiors (%)
COM1,1,A ,10,0,0,0,0,0,0,10
COM1,1,A ,20,0,0,0,0,0,0,20
COM1,1,A ,30,0,0,0,0,0,0,30
COM1,1,A ,40,0,0,0,0,0,0,40
COM1,1,A ,50,0,0,0,0,0,0,50
COM1,1,A ,60,0,0,0,0,0,0,60
COM1,1,A ,70,0,0,0,0,0,0,70
COM1,1,A ,80,0,0,0,0,0,0.01,79.99
COM1,1,A ,90,0,0,0,0,0,0.01,89.99
COM1,1,A ,100,0,0,0,0,0,0.01,99.99
COM1,1,CA,0,0,0,0,0,0,0,0
COM1,1,CA,10,0,0,0,0,0,0,10
COM1,1,CA,20,0,0,0,0,0,0,20
COM1,1,CA,30,0,0,0,0,0,0,30
COM1,1,CA,40,0,0,0,0,0,0,40
COM1,1,CA,50,0,0,0,0,0,0,50
COM1,1,CA,60,0,0,0,0,0,0,60
COM1,1,CA,70,0,0,0,0,0,0,69.99
COM1,1,CA,80,0,0,0,0,0,0,79.99
COM1,1,CA,90,0,0,0,0,0,0,89.99
COM1,1,CA,100,0,0,0,0,0,0.01,99.99
COM1,1,V ,0,0,0,0,0,0,0,0
COM1,1,V ,10,0,0,0,0,0,0,10
COM1,1,V ,20,0,0,0,0,0,0,20
COM1,1,V ,30,0,0,0,0,0,0,30
COM1,1,V ,40,0,0,0,0,0,0,40
COM1,1,V ,50,0,0,0,0,0,0,50
COM1,1,V ,60,0,0,0,0,0,0,60
COM1,1,V ,70,0,0,0,0,0,0,69.99
COM1,1,V ,80,0,0,0,0,0,0,79.99
COM1,1,V ,90,0,0,0,0,0,0,89.99
COM1,1,V ,100,0.01,0,0,0,0,0.01,99.99
COM10,0,A ,0,0,0,0,0,0,0,0
COM10,0,A ,10,0,0,0,0,0,0.02,9.98
COM10,0,A ,20,0,0,0,0,0,0.02,19.98
COM10,0,A ,30,0,0,0,0,0,0.03,29.97
COM10,0,A ,40,0,0,0,0,0,0.04,39.96
COM10,0,A ,50,0.03,0,10.56,0,0.01,0.09,39.31
COM10,0,A ,60,0.04,0,27.58,0,0.02,0.07,32.28
COM10,0,A ,70,0.04,0,45.65,0,0.01,0.05,24.25
COM10,0,A ,80,0.04,0,61.91,0,0.02,0.04,17.99
COM10,0,A ,90,0.04,0,76.4,0,0.02,0.03,13.5
COM10,0,A ,100,0.05,0,89.11,0,0.02,0.03,10.79
COM10,0,CA,0,0,0,0,0,0,0,0
COM10,0,CA,10,0,0,0,0,0,0.02,9.98
COM10,0,CA,20,0,0,0,0,0,0.02,19.98
COM10,0,CA,30,0,0,0,0,0,0.03,29.97
COM10,0,CA,40,0,0,0,0,0,0.04,39.96
COM10,0,CA,50,0.03,0,10.56,0,0.01,0.09,39.31
COM10,0,CA,60,0.04,0,27.58,0,0.02,0.07,32.28
COM10,0,CA,70,0.04,0,45.65,0,0.01,0.05,24.25
COM10,0,CA,80,0.04,0,61.91,0,0.02,0.04,17.99
COM10,0,CA,90,0.04,0,76.4,0,0.02,0.03,13.5
COM10,0,CA,100,0.05,0,89.11,0,0.02,0.03,10.79
COM10,0,V ,0,0,0,0,0,0,0,0
COM10,0,V ,10,0,0,0,0,0,0.02,9.98
COM10,0,V ,20,0,0,0,0,0,0.02,19.98
COM10,0,V ,30,0,0,0,0,0,0.03,29.97
COM10,0,V ,40,0,0,0,0,0,0.04,39.96
COM10,0,V ,50,0.02,0,10.59,0,0.01,0.09,39.29
COM10,0,V ,60,0.04,0,27.61,0,0.02,0.07,32.25
COM10,0,V ,70,0.04,0,45.68,0,0.01,0.05,24.22
COM10,0,V ,80,0.04,0,61.93,0,0.02,0.04,17.97
COM10,0,V ,90,0.04,0,76.41,0,0.02,0.03,13.5
COM10,0,V ,100,0.05,0,89.11,0,0.02,0.03,10.79
COM10,1,A ,0,0,0,0,0,0,0,0
COM10,1,A ,10,0,0,0,0,0,0.02,9.98
COM10,1,A ,20,0,0,0,0,0,0.03,19.97
COM10,1,A ,30,0.04,0,2.69,0,0,0.03,27.23
COM10,1,A ,40,0.07,0,11.57,0,0,0.04,28.32
COM10,1,A ,50,0.16,0,28.95,0,0.01,0.05,20.84
COM10,1,A ,60,0.25,0,45.27,0,0.02,0.03,14.43
COM10,1,A ,70,0.32,0,59.64,0,0.02,0.02,10
COM10,1,A ,80,0.38,0,72.53,0,0.03,0.02,7.04
COM10,1,A ,90,0.44,0,83.09,0,0.03,0.02,6.43
COM10,1,A ,100,0.52,0,93.17,0,0.04,0.02,6.26
COM10,1,CA,0,0,0,0,0,0,0,0
COM10,1,CA,10,0,0,0,0,0,0,10
COM10,1,CA,20,0,0,0.5,0,0,0,19.49
COM10,1,CA,30,0,0,2.46,0,0,0.01,27.53
COM10,1,CA,40,0,0,11.41,0,0.01,0.06,28.52
COM10,1,CA,50,0,0,29.09,0,0.02,0.04,20.85
COM10,1,CA,60,0,0,45.62,0,0.02,0.03,14.33
COM10,1,CA,70,0.03,0,59.99,0,0.03,0.02,9.93
COM10,1,CA,80,0.08,0,72.7,0,0.04,0.02,7.17
COM10,1,CA,90,0.09,0,83.24,0,0.04,0.02,6.6
COM10,1,CA,100,0.12,0,93.32,0,0.05,0.02,6.49
COM10,1,V ,0,0,0,0,0,0,0,0
COM10,1,V ,10,0,0,0,0,0,0,10
COM10,1,V ,20,0,0,0.5,0,0,0,19.49
COM10,1,V ,30,0,0,2.46,0,0,0.01,27.53
COM10,1,V ,40,0,0,11.41,0,0.01,0.06,28.52
COM10,1,V ,50,0,0,29.09,0,0.02,0.04,20.85
COM10,1,V ,60,0,0,45.62,0,0.02,0.03,14.33
COM10,1,V ,70,0.03,0,59.99,0,0.03,0.02,9.93
COM10,1,V ,80,0.07,0,72.69,0,0.04,0.02,7.19
COM10,1,V ,90,0.09,0,83.24,0,0.04,0.02,6.6
COM10,1,V ,100,0.12,0,93.32,0,0.05,0.02,6.49
COM2,0,A ,0,0,0,0,0,0,0,0
COM2,0,A ,10,0,0,0,0,0,0,10
COM2,0,A ,20,0,0,0,0,0,0.01,19.99
COM2,0,A ,30,0,0,0,0,0,0.01,29.99
COM2,0,A ,40,0,0,0,0,0,0.02,39.98
