Attribute,Valid Entries,Basis
roof shape,gable | hip,Image processing
secondary water resistance (SWR),yes | no,Codes/standards
roof deck attachment,"6d @ 6""/12"" | 8d @ 6""/12""| 6d/8d mix @ 6""/6"" | 8d @ 6""/6""",Codes/standards
roof-wall connection,strap | toe-nail,Codes/standards
shutters,yes | no,Codes/standards
garage,"shuttered houses = garage II (SFBC 1994, none) | unshuttered house = garage I (none, weak, standard)",Trends/norms
terrain roughness,open (0.03) | light suburban (0.15) | suburban (0.35) | light trees (0.70) | trees (1.00),Land Use/Land Cover
