,BldgID,Address,City,State,Latitude,Longitude,OccupancyClass,BuildingType,UseCode,BldgClass,DesignLevel,YearBuiltNJDEP,YearBuiltMODIV,NumberofStories0,NumberofStories1,NoUnits,PlanArea0,PlanArea1,FoundationType,SplitLevel,ElevationR0,ElevationR1,FirstFloorHt0,FirstFloorHt1,FloodZone,DSWI,DSWII,DSWIII,DSWIV,WindZone,AvgJanTemp,RoofShape,RoofSlope,RoofCover,RoofSystem,MeanRoofHt,WindowArea,Garage,HazusClassW,HazusClassIN,HazusClassWA,AnalysisDefault,AnalysisAdopted,Modifications,z0,structureType,replacementCost,originID
17,NJBF000080725,60 KIRKWOOD CIRCLE,Galloway,NJ,39.41602305,-74.36369075,RES1,3001,,17,NE,1996,1996,3102,1,1,1521.689008,1521.689008,3507,NO,17.16,27.22,1,0.48,6106,115.372023,124.878935,134.799662,140.591237,I,Above,Gable,0,5701,,22.19046033,0,0,,,,1,1,,0.03,nav,1,5006
18,NJBF000052235,21 SUNSET BLVD.,Longport,NJ,39.31354056,-74.53655555,RES1,3001,,19,NE,1996,1996,3102,3,1,2287.826589,2287.826589,3507,NO,37.4,47.53,1,-0.54,6106,112.933799,122.834135,132.508544,139.034476,I,Above,Gable,0,5701,,42.46263153,0,0,,,,1,1,,0.03,nav,1,3490
19,NJBF000063149,150A BEVIS MILL ROAD,Egg Harbor,NJ,39.34098334,-74.64006741,RES1,3001,,16,NE,2006,2006,3101,1,1,3226.849111,3226.849111,3505,NO,15.98,28.26,3,2.71,6110,110.538024,120.738619,130.511821,136.518553,I,Above,Hip,0,5701,,22.12207138,0,0,,,,1,1,,0.35,nav,1,1234
20,NJBF000055958,1748 MAYS LANDING S.P.RD,Egg Harbor,NJ,39.32736631,-74.63842395,RES1,3001,,16,NE,2006,2006,3102,2,1,1973.228583,1973.228583,3505,NO,44.59,54.42,3,6.67,6106,110.808034,120.937296,130.682753,136.753477,I,Above,Gable,0,5701,,49.50772892,0,0,,,,1,1,,0.03,nav,1,1527
21,NJBF000079672,224 QUAY BLVD,Galloway,NJ,39.41227522,-74.35850232,RES1,3001,,19,NE,2006,2006,3102,3,1,1886.896463,1886.896463,3507,NO,49.29,54.5,1,2.09,6106,115.515226,125.014941,134.952091,140.720169,I,Above,Hip,0,5701,,51.89537976,0,1.1,,,,1,1,,0.03,nav,1,4301
22,NJBF000053161,423 BAY AVE,Somers Point,NJ,39.3189379,-74.58771563,RES1,3001,,16,NE,2015,2015,3102,2,1,1340.105103,1340.105103,3505,NO,22.24,34.56,3,0.11,6106,111.802644,121.888778,131.574061,137.919915,I,Above,Gable,0,5701,,28.39625358,0,0,,,,1,1,,0.03,nav,1,1477
23,NJBF000060264,221 N CLERMONT AVE,Margate City,NJ,39.33567688,-74.49940658,RES1,3001,,20,NE,2015,2015,3103,4,1,1185.58877,1185.58877,3505,NO,69.05,74.61,3,-2.59,6106,113.410497,123.231798,132.936675,139.498669,I,Above,Gable,0,5701,,71.83210025,0,0,,,,1,1,,0.03,nav,1,4193
24,NJBF000062062,8206 BAYSHORE DR WEST,Margate City,NJ,39.338735,-74.51212,RES1,3001,,22,NE,2015,2015,3102,3,1,1673.62059,1673.62059,3505,NO,39.76,45.53,3,5.7,6106,113.086593,122.972278,132.667723,139.195935,I,Above,Gable,0,5701,,42.64444635,0,1.1,,,,1,1,,0.03,nav,1,4123
25,NJBF000081863,1 N SHORE ROAD,Absecon,NJ,39.42388503,-74.49982203,COM1,3003,,NaN,ME,1925,0,3401,3,1,4704.929432,4704.929432,3507,NO,51.02,65.84,1,2.28,6112,112.484837,122.282696,131.918542,138.088621,I,Above,Hip,0,NaN,Wood,58.43117522,0,0,,,,1,1,,1,nav,1,493
26,NJBF000069338,117 S NEW YORK AVE,Atlantic City,NJ,39.35974596,-74.42787204,COM1,3003,,45,ME,1930,1930,3401,3,2,604.1005315,604.1005315,3507,YES,48.29,55.95,1,-0.54,6106,114.664046,124.256657,134.059346,140.330643,I,Above,Flat,0,NaN,Wood,52.12151513,0,0,,,,1,1,,0.03,nav,1,947
