Attribute,Valid Entries,Basis
roof cover,BUR | SPM,Trends/norms
shutters,yes | no,Codes/standards/human subjects data
wind borne debris source,Residential/Commerical (A) | Varies by Direction (B) | Residential (C) | None (D),Trends/norms
metal roof deck attachment,standard | superior,Codes/standards
