,BldgID,Address,City,State,Latitude,Longitude,OccupancyClass,BuildingType,UseCode,BldgClass,DesignLevel,YearBuiltNJDEP,YearBuiltMODIV,NumberofStories0,NumberofStories1,NoUnits,PlanArea0,PlanArea1,FoundationType,SplitLevel,ElevationR0,ElevationR1,FirstFloorHt0,FirstFloorHt1,FloodZone,DSWI,DSWII,DSWIII,DSWIV,WindZone,AvgJanTemp,RoofShape,RoofSlope,RoofCover,RoofSystem,MeanRoofHt,WindowArea,Garage,HazusClassW,HazusClassIN,HazusClassWA,AnalysisDefault,AnalysisAdopted,Modifications,z0
59,NJBF000081726,4 HILLSIDE CIRCLE,Absecon,NJ,39.42232874,-74.49154804,RES1,3001,,17,NE,1978,1978,3101,2,1,1727.399399,1727.399399,3505,NO,27.37,37.5,3,1.88,6112,112.669126,122.445524,132.096741,138.271623,I,Above,Gable,0,5701,,32.43443761,0,1.1,,,,1,1,,0.35
60,NJBF000091014,103 E COLLINGS DR,Folsom,NJ,39.59884301,-74.87825028,RES1,3001,,16,NE,1960,1960,3101,1,2,1180.187929,1180.187929,3507,NO,16.62,26.45,1,0.33,6112,107.491209,116.099501,125.856414,128.904077,I,Above,Flat,0,5701,,21.53292918,0,0,,,,1,1,,0.35
61,NJBF000091023,103 E COLLINGS DR,Folsom,NJ,39.5988975,-74.87843411,RES1,3001,,16,NE,1960,1960,3101,1,2,2013.864449,2013.864449,3507,NO,14.59,26.53,1,1.27,6112,107.489766,116.097764,125.85465,128.90155,I,Above,Gable,0,5701,,20.56070515,0,0,,,,1,1,,0.35
62,NJBF000092651,283 CHESTNUT ST,Hammonton,NJ,39.63161936,-74.79157891,RES1,3001,,17,NE,1954,1954,3102,2,1,2017.789146,2017.789146,3504,NO,36.07,48.98,-4,0,6112,108.065049,116.49783,126.338024,129.657446,I,Above,Flat,0,5701,,42.52444156,0,0,,,,1,1,,0.35
63,NJBF000092864,795 CENTRAL AVE,Hammonton,NJ,39.6343656,-74.78513599,RES1,3001,,17,NE,1960,1960,3102,2,1,2152.32337,2152.32337,3504,NO,38.74,52.34,-4,0,6112,108.111576,116.525874,126.373356,129.711555,I,Above,Hip,0,5701,,45.53921572,0,1.2,,,,1,1,,0.35
64,NJBF000083877,6395 MONMOUTH DRIVE,Hamilton,NJ,39.45100728,-74.75207506,RES1,3001,,17,NE,1955,1955,3101,1,1,1203.234591,1203.234591,3505,NO,12.18,19.67,3,-0.33,6112,108.842477,118.378872,128.059375,132.596155,I,Above,Gable,0,5701,,15.92523624,0,0,,,,1,1,,0.35
65,NJBF000083855,6316 PALMER AVENUE,Hamilton,NJ,39.45075627,-74.75118505,RES1,3001,,17,NE,1957,1957,3101,1,1,1010.207412,1010.207412,3505,NO,22.55,31.65,3,3.71,6112,108.850027,118.390374,128.070775,132.616986,I,Above,Gable,0,5701,,27.09776423,0,0,,,,1,1,,0.35
66,NJBF000083718,6318 CROCUS STREET,Hamilton,NJ,39.44921969,-74.75424051,RES1,3001,,17,NE,1964,1964,3102,2,1,1989.49185,1989.49185,3505,NO,36.03,49.07,3,1.57,6112,108.831701,118.369691,128.051411,132.580244,I,Above,Gable,0,5701,,42.55104077,0,0,,,,1,1,,0.35
67,NJBF000083994,6312 PHILIPS AVENUE,Hamilton,NJ,39.45290256,-74.75576796,RES1,3001,,17,NE,1952,1952,3101,1,1,945.0764849,945.0764849,3505,NO,17.63,31.1,3,6.46,6112,108.808569,118.324666,128.005251,132.497579,I,Above,Gable,0,5701,,24.36675582,0,0,,,,1,1,,0.35
68,NJBF000069388,17 FRONT STREET,Egg Harbor,NJ,39.36003129,-74.58021183,RES1,3001,,16,NE,1959,1959,3101,1,1,1583.793273,1583.793273,3507,NO,15.51,30.44,1,1.71,6112,111.275082,121.545316,131.228686,137.477588,I,Above,Gable,0,5701,,22.97712625,0,0,,,,1,1,,0.35
69,NJBF000069450,9 FRONT STREET,Egg Harbor,NJ,39.3604925,-74.57963662,RES1,3001,,16,NE,1954,1954,3101,1,1,1221.307074,1221.307074,3507,NO,16.31,26.61,1,-0.29,6112,111.281566,121.5503,131.23275,137.482544,I,Above,Hip,0,5701,,21.46164672,0,0,,,,1,1,,0.35
70,NJBF000069466,7 FRONT STREET,Egg Harbor,NJ,39.36067243,-74.57955631,RES1,3001,,16,NE,1954,1954,3101,2,1,2047.50211,2047.50211,3507,NO,25.69,37.34,1,1.66,6112,111.280912,121.549772,131.231967,137.481501,I,Above,Flat,0,5701,,31.51415736,0,1.1,,,,1,1,,0.35
71,NJBF000066787,TUCKAHOE RD,Estell Manor,NJ,39.3507851,-74.76568013,RES4,3001,,,ME,1969,0,3401,1,1,715.1569851,715.1569851,3507,NO,17.52,29.44,1,0.95,6112,109.349723,119.076955,128.76489,133.795455,I,Above,Gable,0,5701,,23.48311871,0,0,,,,1,1,,0.7
72,NJBF000066838,TUCKAHOE RD,Estell Manor,NJ,39.35096457,-74.76512643,RES4,3001,,,ME,1969,0,3401,3,1,729.7600727,729.7600727,3507,NO,48.15,55.82,1,1.73,6112,109.351999,119.080925,128.76983,133.803924,I,Above,Gable,0,5701,,51.98222828,0,0,,,,1,1,,1
73,NJBF000067006,125 MARGATE BLVD.,Linwood,NJ,39.35167853,-74.53956996,RES1,3001,510,,NE,1969,0,3102,2,1,544.8981084,544.8981084,3507,NO,37.02,50.48,1,2.55,6106,112.297986,122.34403,132.024036,138.442586,I,Above,Flat,0,5701,,43.75182097,0,0,,,,1,1,,0.03
74,NJBF000081784,408 CYNWYD DR,Absecon,NJ,39.42289105,-74.48782533,RES1,3001,,17,NE,1963,1963,3101,2,1,2345.871242,2345.871242,3505,NO,39.5,45.25,3,1.35,6112,112.742973,122.505974,132.162836,138.333671,I,Above,Hip,0,5701,,42.37471008,0,1.1,,,,1,1,,0.35
75,NJBF000073809,7080 BLACK HORSE PIKE,Pleasantville,NJ,39.38330438,-74.50132252,COM1,3003,530,,ME,1969,0,3401,3,1,4916.525731,4916.525731,3507,NO,48.3,54.26,1,2.48,6106,112.792149,122.679668,132.359819,138.704587,I,Above,Flat,0,,,51.28433315,0,0,,,,1,1,,0.03
76,NJBF000067057,125 MARGATE BLVD.,Linwood,NJ,39.35190241,-74.53990332,RES1,3001,510,,NE,1969,0,3102,2,1,661.0149401,661.0149401,3507,NO,28.66,35.5,1,-0.57,6106,112.287545,122.335722,132.01554,138.432397,I,Above,Flat,0,5701,,32.0789009,0,0,,,,1,1,,0.03
77,NJBF000083237,1104 MARLBOROUGH AVE,Galloway,NJ,39.44004104,-74.51626002,RES1,3001,,17,NE,1956,1956,3102,2,1,1639.906884,1639.906884,3505,NO,44.73,51.47,3,8.65,6112,112.048692,121.828453,131.420344,137.51418,I,Above,Gable,0,5701,,48.10243607,0,0,,,,1,1,,0.35
78,NJBF000078120,4045 SPRUCE AVENUE,Egg Harbor,NJ,39.40307302,-74.59121644,RES1,3001,,16,NE,1951,1951,3102,1,1,1756.27683,1756.27683,3507,NO,12.8,26.54,1,0.32,6112,110.693621,120.930338,130.527147,136.584675,I,Above,Gable,0,5701,,19.66572284,0,1.2,,,,1,1,,0.15
79,NJBF000066970,TUCKAHOE RD,Estell Manor,NJ,39.35149704,-74.76430939,RES4,3001,,,ME,1969,0,3401,2,1,725.0340973,725.0340973,3507,NO,30.07,37.4,1,0.14,6112,109.352836,119.084168,128.774817,133.812483,I,Above,Gable,0,5701,,33.73368523,0,0,,,,1,1,,0.7
80,NJBF000087997,OLD NEW YORK RD,Port Republic,NJ,39.54702848,-74.46455009,COM4,3002,510,,ME,1969,0,3401,1,1,963.0379495,963.0379495,3507,NO,13.11,20.81,1,1,6106,112.421816,121.536226,131.126568,136.9072,I,Above,Flat,0,5701,,16.96418245,0,0,,,,1,1,,0.03
81,NJBF000084189,6352 PITTSBURG AVENUE,Hamilton,NJ,39.45788902,-74.80075837,RES1,3001,,17,NE,1920,1920,3101,2,2,1688.519583,1688.519583,3507,NO,28.39,38.11,1,1.61,6109,108.464645,117.829234,127.512079,131.58453,I,Above,Gable,0,5701,,33.24985272,0,1.2,,,,1,1,,0.03
82,NJBF000085562,5638 LAUREL STREET,Hamilton,NJ,39.49364285,-74.66977771,RES1,3001,,16,NE,1910,1910,3101,2,1,876.2544377,876.2544377,3507,NO,39.01,45.29,1,1.88,6112,109.526185,118.993081,128.604626,133.581044,I,Above,Flat,0,5701,,42.14900775,0,1.2,,,,1,1,,0.15
83,NJBF000086228,214 OAK ISLAND ROAD,Buena Vista,NJ,39.51209101,-74.91174034,RES1,3001,999,,NE,1969,0,3102,2,1,588.3824345,588.3824345,3507,NO,24.58,34.27,1,1.67,6112,107.532425,116.454613,126.146572,129.258187,I,Above,Gable,0,5701,,29.42493183,0,0,,,,1,1,,0.35
