ID,RoofShape,FloodZone,Area,Longitude,Latitude,Terrain,DSWII,geometry,BuildingType,OccupancyClass,AvgJanTemp,Garage,RoofSlope,NumberofStories,MeanRoofHt,YearBuilt
75,Gable,X,632.1111529,-93.23823608,30.13455808,76,133.2162009,"POLYGON ((-93.23809799999999 30.13446, -93.23809799999999 30.134536, -93.23814900000001 30.134536, -93.238148 30.134627, -93.238187 30.134627, -93.238187 30.134692, -93.23831 30.134692, -93.238311 30.134581, -93.238354 30.134581, -93.238355 30.134461, -93.23809799999999 30.13446))",Wood,RES1,Above,2.1,0.021140141,1,12.3843662,1986
76,Gable,X,593.106668,-93.23753582,30.13419625,76,133.2267504,"POLYGON ((-93.23755300000001 30.134285, -93.23755199999999 30.134329, -93.237624 30.134331, -93.237633 30.134092, -93.237437 30.134087, -93.23743 30.134282, -93.23755300000001 30.134285))",Wood,RES1,Above,0,0.10789391,1,13.96170745,1985
77,Hip,X,518.2513435,-93.2375385,30.1376705,76,133.1141179,"POLYGON ((-93.237622 30.137778, -93.237624 30.137564, -93.237455 30.137563, -93.237453 30.137777, -93.237622 30.137778))",Wood,RES1,Above,0,0.191358526,1,15.47924593,1991
78,Hip,X,475.9350041,-93.2396482,30.13560478,76,133.1846391,"POLYGON ((-93.239587 30.135698, -93.23975 30.135699, -93.239752 30.13553, -93.23950000000001 30.135528, -93.239499 30.135591, -93.239588 30.135592, -93.239587 30.135698))",Wood,RES1,Above,1.1,0.24839446,1,16.5162629,1990
79,Hip,X,612.4512039,-93.23821909,30.13321357,76,133.2597276,"POLYGON ((-93.23805400000001 30.133235, -93.23805400000001 30.133307, -93.238325 30.133307, -93.238325 30.133091, -93.23818 30.133091, -93.23818 30.133137, -93.238156 30.133137, -93.238156 30.133235, -93.23805400000001 30.133235))",Wood,RES1,Above,0,0.304290086,1,17.53254702,1987
80,Hip,X,301.0105412,-93.23684689,30.13336458,21,133.2525312,"POLYGON ((-93.23693 30.133341, -93.23686600000001 30.133341, -93.23686600000001 30.133265, -93.236783 30.133265, -93.236783 30.133441, -93.23693 30.133441, -93.23693 30.133341))",Wood,COM1,Above,0,0.293383222,2,29.3342404,1990
81,Hip,X,675.9451021,-93.2382565,30.1339375,76,133.2363421,"POLYGON ((-93.238349 30.134065, -93.238349 30.13381, -93.238164 30.13381, -93.238164 30.134065, -93.238349 30.134065))",Wood,RES1,Above,0,0.093212781,1,13.69477784,1989
82,Gable,X,497.5239945,-93.23686105,30.13900284,21,133.0697607,"POLYGON ((-93.236734 30.138925, -93.236734 30.139004, -93.236777 30.139004, -93.236777 30.139089, -93.236968 30.139089, -93.236968 30.138925, -93.236734 30.138925))",Wood,RES1,Above,0,0.16494629,1,14.99902346,1991
83,Hip,X,727.5408228,-93.23896211,30.13865304,76,133.0845871,"POLYGON ((-93.239053 30.138529, -93.238855 30.138526, -93.238851 30.138763, -93.23911 30.138766, -93.23911099999999 30.138694, -93.239045 30.138693, -93.239046 30.138603, -93.239052 30.138603, -93.239053 30.138529))",Wood,RES1,Above,2.1,0.099365685,1,13.80664883,1989
84,Hip,X,556.3789375,-93.24031669,30.13352408,76,133.2532094,"POLYGON ((-93.240223 30.133423, -93.240224 30.133632, -93.24040100000001 30.133631, -93.24040100000001 30.133505, -93.240422 30.133505, -93.240422 30.133422, -93.240223 30.133423))",Wood,RES1,Above,2.1,0.012217331,1,12.22213328,1985
85,Hip,X,474.323155,-93.23964147,30.13414113,76,133.2320748,"POLYGON ((-93.23957900000001 30.134179, -93.23952300000001 30.13418, -93.239524 30.134235, -93.239733 30.134234, -93.23973100000001 30.134092, -93.239699 30.134093, -93.239698 30.134023, -93.23957799999999 30.134024, -93.23957900000001 30.134179))",Wood,RES1,Above,2.1,0.216986859,1,15.94521561,1984
86,Hip,X,447.9520507,-93.23826585,30.13424701,76,133.2263302,"POLYGON ((-93.23817699999999 30.134202, -93.23817699999999 30.134341, -93.23834600000001 30.134341, -93.23834600000001 30.134144, -93.238212 30.134144, -93.238212 30.134202, -93.23817699999999 30.134202))",Wood,RES1,Above,0,0.138187732,2,26.51250423,1987
87,Gable,X,529.9556266,-93.2375392,30.13319974,76,133.2590313,"POLYGON ((-93.237695 30.133278, -93.237694 30.133197, -93.237583 30.133197, -93.237582 30.133095, -93.23743 30.133096, -93.237432 30.13328, -93.237695 30.133278))",Wood,RES1,Above,1.1,0.118594326,1,14.15626047,1989
88,Hip,X,473.7143646,-93.23690646,30.13865449,21,133.0811424,"POLYGON ((-93.236797 30.138646, -93.23685 30.138646, -93.23685 30.138765, -93.23698899999999 30.138765, -93.23699000000001 30.138561, -93.236797 30.13856, -93.236797 30.138646))",Wood,RES1,Above,0,0.146997611,1,14.67268383,1989
89,Hip,X,501.3425881,-93.23963193,30.13474471,76,133.2124964,"POLYGON ((-93.239611 30.13463, -93.239609 30.13475, -93.23948 30.134749, -93.239479 30.134832, -93.239696 30.134835, -93.23969700000001 30.134768, -93.239743 30.134768, -93.239745 30.134632, -93.239611 30.13463))",Wood,RES1,Above,2.1,0.256988681,1,16.67252148,1988
90,Hip,X,777.2937463,-93.23716361,30.13255552,76,133.2792562,"POLYGON ((-93.237318 30.132463, -93.237009 30.132472, -93.237016 30.132652, -93.23725 30.132646, -93.23724900000001 30.132625, -93.237324 30.132623, -93.237318 30.132463))",Wood,RES1,Above,2.1,0.126182262,2,26.29422295,1989
91,Gable,X,594.2510731,-93.23967063,30.13864522,76,133.0860165,"POLYGON ((-93.23960599999999 30.138762, -93.23977499999999 30.138759, -93.239771 30.138548, -93.239518 30.138552, -93.239519 30.138621, -93.239604 30.13862, -93.23960599999999 30.138762))",Wood,RES1,Above,0,0.111636313,1,14.02975114,1991
92,Hip,X,479.9306833,-93.23966165,30.13666104,76,133.1504018,"POLYGON ((-93.23956699999999 30.136568, -93.23956699999999 30.13671, -93.239599 30.13671, -93.239599 30.136761, -93.239749 30.136761, -93.239749 30.136568, -93.23956699999999 30.136568))",Wood,RES1,Above,0,0.279712816,1,17.08568757,1987
93,Hip,X,427.6698331,-93.239597,30.132543,76,133.2837705,"POLYGON ((-93.23964700000001 30.132437, -93.239468 30.132518, -93.239547 30.132649, -93.239726 30.132568, -93.23964700000001 30.132437))",Wood,COM1,Above,0,0.174797206,1,15.17813103,1985
94,Gable,X,462.3869723,-93.23893507,30.135553,76,133.1851232,"POLYGON ((-93.239008 30.135428, -93.238921 30.135428, -93.238921 30.135484, -93.23885 30.135484, -93.238851 30.135657, -93.23900999999999 30.135656, -93.239008 30.135428))",Wood,RES1,Above,0,0.120718433,2,26.1948806,1991
95,Gable,X,565.585134,-93.2382235,30.133559,76,133.2485473,"POLYGON ((-93.238136 30.133447, -93.238134 30.13367, -93.238311 30.133671, -93.23831300000001 30.133448, -93.238136 30.133447))",Wood,RES1,Above,0,0.118498329,1,14.15451507,1989
96,Gable,X,445.0873519,-93.23965552,30.13446928,76,133.2214637,"POLYGON ((-93.23973599999999 30.134432, -93.239687 30.134432, -93.239687 30.134325, -93.239599 30.134325, -93.239599 30.134531, -93.239564 30.134531, -93.239564 30.134578, -93.23973599999999 30.134578, -93.23973599999999 30.134432))",Wood,RES1,Above,0,0.143337342,1,14.60613349,1986
97,Gable,X,411.4845415,-93.23760963,30.13733269,76,133.1251954,"POLYGON ((-93.23752399999999 30.137424, -93.237674 30.137423, -93.237673 30.137321, -93.23772200000001 30.13732, -93.23772099999999 30.137253, -93.237523 30.137254, -93.23752399999999 30.137424))",Wood,RES3,Above,0,0.177446932,2,27.22630785,1988
98,Gable,X,415.4356075,-93.236808,30.1330435,21,133.2628614,"POLYGON ((-93.23667500000001 30.132989, -93.23667500000001 30.133098, -93.236941 30.133098, -93.236941 30.132989, -93.23667500000001 30.132989))",Wood,RES1,Above,0,0.03140253,2,24.57095508,1988
99,Hip,X,578.493689,-93.23964499,30.13699775,76,133.1394493,"POLYGON ((-93.239544 30.136975, -93.239544 30.137105, -93.23973700000001 30.137104, -93.23973700000001 30.136884, -93.23956800000001 30.136884, -93.23956800000001 30.136975, -93.239544 30.136975))",Wood,RES1,Above,0,0.076999449,1,13.39998998,1988
100,Gable,X,329.7244799,-93.23892632,30.13761516,76,133.1182172,"POLYGON ((-93.238938 30.137708, -93.239045 30.137706, -93.239043 30.137641, -93.238966 30.137642, -93.238963 30.137527, -93.238832 30.137529, -93.23883600000001 30.137654, -93.238936 30.137652, -93.238938 30.137708))",Wood,RES1,Above,2.1,0.283162649,2,29.14841181,1990
101,Gable,X,377.0832903,-93.2375145,30.138004,76,133.1032569,"POLYGON ((-93.23745 30.138106, -93.237579 30.138106, -93.237579 30.137902, -93.23745 30.137902, -93.23745 30.138106))",Wood,COM1,Above,0,0.075534255,1,13.37335009,1993
102,Gable,X,384.909448,-93.2403005,30.138644,76,133.0871029,"POLYGON ((-93.24024 30.138755, -93.24036099999999 30.138755, -93.24036099999999 30.138533, -93.24024 30.138533, -93.24024 30.138755))",Wood,RES1,Above,0,0.096258308,2,25.75015105,1992
103,Gable,X,387.7166852,-93.236895,30.1383195,21,133.0919951,"POLYGON ((-93.236812 30.138401, -93.23697799999999 30.138401, -93.23697799999999 30.138238, -93.236812 30.138238, -93.236812 30.138401))",Wood,RES1,Above,2.1,0.174136735,1,15.16612246,1989
104,Hip,X,528.4947636,-93.23966461,30.13733153,76,133.128651,"POLYGON ((-93.239589 30.137474, -93.239678 30.137475, -93.239678 30.137405, -93.239751 30.137405, -93.239752 30.137215, -93.239591 30.137214, -93.239589 30.137474))",Wood,RES1,Above,2.1,0.2226299,1,16.04781636,1989
105,Flat,X,377.1300791,-93.23829,30.135249,76,133.1938987,"POLYGON ((-93.23836 30.135155, -93.23822 30.135155, -93.23822 30.135343, -93.23836 30.135343, -93.23836 30.135155))",Wood,RES1,Above,2.1,0,2,24,1989
106,Gable,X,394.9632571,-93.23892515,30.1373322,76,133.1273973,"POLYGON ((-93.238964 30.137433, -93.238962 30.137333, -93.239028 30.137332, -93.239026 30.13723, -93.238939 30.137231, -93.23894 30.137271, -93.238838 30.137272, -93.23884099999999 30.137435, -93.238964 30.137433))",Wood,COM1,Above,0,0.040814677,1,12.74208504,1991
107,Hip,X,522.2212153,-93.23891383,30.13374782,76,133.2435928,"POLYGON ((-93.238962 30.133639, -93.238814 30.133639, -93.238815 30.133778, -93.23885199999999 30.133778, -93.23885199999999 30.133853, -93.23901600000001 30.133852, -93.23901600000001 30.133709, -93.238962 30.133709, -93.238962 30.133639))",Wood,RES1,Above,1.1,0.044478121,1,12.80869311,1988
108,Hip,X,502.6292202,-93.23685048,30.13698108,21,133.1353417,"POLYGON ((-93.236785 30.137071, -93.236952 30.137071, -93.236952 30.136897, -93.23674200000001 30.136897, -93.23674200000001 30.137037, -93.236785 30.137037, -93.236785 30.137071))",Wood,RES1,Above,0,0.216023607,1,15.92770195,1986
109,Gable,X,544.8094574,-93.23684484,30.1362474,21,133.1591231,"POLYGON ((-93.236681 30.136324, -93.23696 30.136324, -93.23696 30.136146, -93.236801 30.136146, -93.236801 30.136243, -93.236681 30.136243, -93.236681 30.136324))",Wood,RES1,Above,0,0.004283244,2,24.07787716,1990
