Basic,Basic,Basic,Basic,Basic,Basic,Basic,Basic,Basic,Basic,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Flood,Flood,Flood,Flood,*OptionalInputs
id,Longitude,Latitude,OccupancyClass,BuildingType,StructureType,YearBuilt,NumberofStories,PlanArea,ReplacementCost,RoofShape,RoofSlope,RoofCover,RoofSystem,MeanRoofHt,WindowArea,Garage,NoUnits,DesignLevel,DSWII,WindZone,AvgJanTemp,z0,SplitLevel,FirstFloorHt,FoundationType,FloodZone,
1,39.41770296,-74.50360821,RES1,3001,,1956,2,1310.670302,1,Gable,0,5701,Wood,26.76835396,0,0,1,NE,122.279935,I,Above,0.35,NO,-2.97,3505,6112,
