ID,TestbedID,RoofShape,FloodZone,Area,Longitude,Latitude,Terrain,DSWII,BuildingType,AvgJanTemp,Garage,NumberOfStories,YearBuilt,RoofSlope,MeanRoofHt,geometry,OccupancyClass,FEMAID
219,13057,Gable,X,498.8880109,-93.28995448,30.16646119,42,132.2596288,Wood,Above,0,2,1998,0,36.32,"POLYGON ((-93.28992599999999 30.166336, -93.289852 30.166337, -93.289857 30.166545, -93.290081 30.166541, -93.29007799999999 30.166412, -93.289928 30.166414, -93.28992599999999 30.166336))",RES1,79067
220,13873,Hip,X,760.36958,-93.29175063,30.16941355,11,132.1650623,Wood,Above,2.1,1,1998,0,16.62,"POLYGON ((-93.29183999999999 30.169569, -93.29183999999999 30.169265, -93.291634 30.169265, -93.291634 30.169353, -93.291709 30.169353, -93.291709 30.169425, -93.291663 30.169425, -93.291663 30.169569, -93.29183999999999 30.169569))",RES1,79069
221,16197,Hip,X,716.351566,-93.28867468,30.16751237,42,132.2226324,Wood,Above,0,1,1998,0.31,14.23,"POLYGON ((-93.288538 30.167602, -93.288808 30.167608, -93.288813 30.167425, -93.288618 30.16742, -93.288618 30.167413, -93.288544 30.167412, -93.288538 30.167602))",RES1,79083
222,26560,Hip,X,653.5616275,-93.28870328,30.16709741,42,132.2364074,Wood,Above,0,1,1999,0.63,19.39,"POLYGON ((-93.28868900000001 30.166974, -93.288588 30.166973, -93.288586 30.167205, -93.28867700000001 30.167206, -93.28867700000001 30.167176, -93.288849 30.167177, -93.28885099999999 30.167029, -93.28877300000001 30.167028, -93.28877300000001 30.167047, -93.28868799999999 30.167046, -93.28868900000001 30.166974))",RES3,79090
223,24538,Hip,X,671.0824916,-93.29252834,30.17107754,11,132.1112958,Wood,Above,0,2,1999,0.09,25.04,"POLYGON ((-93.292406 30.171041, -93.29240799999999 30.171213, -93.29257800000001 30.171212, -93.29257699999999 30.171084, -93.292647 30.171084, -93.29264499999999 30.170923, -93.29252200000001 30.170923, -93.292523 30.17104, -93.292406 30.171041))",RES1,79092
224,12767,Hip,X,858.6672583,-93.29400678,30.16668716,42,132.2592623,Wood,Above,2.1,2,1998,0,31.39,"POLYGON ((-93.293931 30.166583, -93.293931 30.166666, -93.29379400000001 30.166666, -93.29379299999999 30.16677, -93.294173 30.166772, -93.294174 30.166584, -93.293931 30.166583))",RES1,79093
225,25895,Flat,X,713.4925981,-93.288576,30.124984,61,133.6172235,Wood,Above,0,1,1969,0,12,"POLYGON ((-93.288659 30.124834, -93.288493 30.124834, -93.288493 30.125134, -93.288659 30.125134, -93.288659 30.124834))",RES3,79096
226,19413,Hip,X,676.2739485,-93.28639505,30.16936755,42,132.1573088,Wood,Above,1.1,1,1993,0.42,14.46,"POLYGON ((-93.286423 30.169302, -93.286423 30.169241, -93.28628999999999 30.16924, -93.286289 30.169473, -93.28651600000001 30.169474, -93.286518 30.169303, -93.286423 30.169302))",RES1,79097
227,3558,Gable,X,713.6764538,-93.28059635,30.17218912,17,132.0540393,Wood,Above,0,2,1994,0,12,"POLYGON ((-93.28039 30.172189, -93.280389 30.172265, -93.280399 30.172297, -93.28042000000001 30.172298, -93.280745 30.172203, -93.280755 30.172235, -93.280817 30.172221, -93.280778 30.172098, -93.280708 30.172114, -93.280677 30.172114, -93.280669 30.172089, -93.280506 30.172127, -93.28050500000001 30.172182, -93.28042000000001 30.172182, -93.28039 30.172189))",RES1,79102
228,18823,Hip,X,742.0776401,-93.28929204,30.16816242,11,132.2021984,Wood,Above,2.1,1,1998,0.17,16.45,"POLYGON ((-93.289202 30.168311, -93.289377 30.168308, -93.28937500000001 30.168221, -93.28934099999999 30.168222, -93.28934 30.168176, -93.289401 30.168175, -93.28939800000001 30.168026, -93.289196 30.168029, -93.289202 30.168311))",COM1,79105
