,OBJECTID,DMG_LEVEL,DMG_TYPE,ASMT_TYPE,IN_DEPTH,WIND_SPEED,PGA,ACCESS,COUNTY,STATE,FIPS,PROD_DATE,IMG_DATE,EVENT_NAME,EVENT_DATE,SOURCE,DIS_NUMBER,COMMENTS,LONGITUDE,LATITUDE,USNG
78697,896966,NOD,MUL,MOD,,CAT4,, ,Calcasieu,LA,22019,,,2020 Hurricane Laura,8/26/2020 0:00,GeoX,DR-4559,Automated AI damage assmts from 3D CAP WaldoAir I*,-93.2848892,30.1710148,
79870,898139,AFF,MUL,MOD,,CAT4,, ,Calcasieu,LA,22019,,,2020 Hurricane Laura,8/26/2020 0:00,GeoX,DR-4559,Automated AI damage assmts from 3D CAP WaldoAir I*,-93.2912216,30.1693172,
78875,897144,NOD,MUL,MOD,,CAT4,, ,Calcasieu,LA,22019,,,2020 Hurricane Laura,8/26/2020 0:00,GeoX,DR-4559,Automated AI damage assmts from 3D CAP WaldoAir I*,-93.2951126,30.1655216,
76926,895195,NOD,MUL,MOD,,CAT4,, ,Calcasieu,LA,22019,,,2020 Hurricane Laura,8/26/2020 0:00,GeoX,DR-4559,Automated AI damage assmts from 3D CAP WaldoAir I*,-93.2913666,30.1657085,
80256,898525,AFF,MUL,MOD,,CAT4,, ,Calcasieu,LA,22019,,,2020 Hurricane Laura,8/26/2020 0:00,GeoX,DR-4559,Automated AI damage assmts from 3D CAP WaldoAir I*,-93.2925415,30.1714134,
78469,896738,NOD,MUL,MOD,,CAT4,, ,Calcasieu,LA,22019,,,2020 Hurricane Laura,8/26/2020 0:00,GeoX,DR-4559,Automated AI damage assmts from 3D CAP WaldoAir I*,-93.2928848,30.1483231,
77517,895786,NOD,MUL,MOD,,CAT4,, ,Calcasieu,LA,22019,,,2020 Hurricane Laura,8/26/2020 0:00,GeoX,DR-4559,Automated AI damage assmts from 3D CAP WaldoAir I*,-93.2841797,30.1623707,
79491,897760,AFF,MUL,MOD,,CAT4,, ,Calcasieu,LA,22019,,,2020 Hurricane Laura,8/26/2020 0:00,GeoX,DR-4559,Automated AI damage assmts from 3D CAP WaldoAir I*,-93.2924271,30.1680393,
77409,895678,NOD,MUL,MOD,,CAT4,, ,Calcasieu,LA,22019,,,2020 Hurricane Laura,8/26/2020 0:00,GeoX,DR-4559,Automated AI damage assmts from 3D CAP WaldoAir I*,-93.291687,30.1706657,
79767,898036,AFF,MUL,MOD,,CAT4,, ,Calcasieu,LA,22019,,,2020 Hurricane Laura,8/26/2020 0:00,GeoX,DR-4559,Automated AI damage assmts from 3D CAP WaldoAir I*,-93.2897339,30.1717873,
80279,898548,AFF,MUL,MOD,,CAT4,, ,Calcasieu,LA,22019,,,2020 Hurricane Laura,8/26/2020 0:00,GeoX,DR-4559,Automated AI damage assmts from 3D CAP WaldoAir I*,-93.286972,30.1693172,
78947,897216,NOD,MUL,MOD,,CAT4,, ,Calcasieu,LA,22019,,,2020 Hurricane Laura,8/26/2020 0:00,GeoX,DR-4559,Automated AI damage assmts from 3D CAP WaldoAir I*,-93.2880478,30.1701336,
78994,897263,NOD,MUL,MOD,,CAT4,, ,Calcasieu,LA,22019,,,2020 Hurricane Laura,8/26/2020 0:00,GeoX,DR-4559,Automated AI damage assmts from 3D CAP WaldoAir I*,-93.2969742,30.1706886,
78725,896994,NOD,MUL,MOD,,CAT4,, ,Calcasieu,LA,22019,,,2020 Hurricane Laura,8/26/2020 0:00,GeoX,DR-4559,Automated AI damage assmts from 3D CAP WaldoAir I*,-93.294487,30.1651611,
80312,898581,AFF,MUL,MOD,,CAT4,, ,Calcasieu,LA,22019,,,2020 Hurricane Laura,8/26/2020 0:00,GeoX,DR-4559,Automated AI damage assmts from 3D CAP WaldoAir I*,-93.2945175,30.1657658,
80324,898593,AFF,MUL,MOD,,CAT4,, ,Calcasieu,LA,22019,,,2020 Hurricane Laura,8/26/2020 0:00,GeoX,DR-4559,Automated AI damage assmts from 3D CAP WaldoAir I*,-93.2890091,30.171484,
80209,898478,AFF,MUL,MOD,,CAT4,, ,Calcasieu,LA,22019,,,2020 Hurricane Laura,8/26/2020 0:00,GeoX,DR-4559,Automated AI damage assmts from 3D CAP WaldoAir I*,-93.2951202,30.1660919,
76181,894450,NOD,MUL,MOD,,CAT4,, ,Calcasieu,LA,22019,,,2020 Hurricane Laura,8/26/2020 0:00,GeoX,DR-4559,Automated AI damage assmts from 3D CAP WaldoAir I*,-93.2877579,30.1725311,
78467,896736,NOD,MUL,MOD,,CAT4,, ,Calcasieu,LA,22019,,,2020 Hurricane Laura,8/26/2020 0:00,GeoX,DR-4559,Automated AI damage assmts from 3D CAP WaldoAir I*,-93.2906952,30.1713791,
80072,898341,AFF,MUL,MOD,,CAT4,, ,Calcasieu,LA,22019,,,2020 Hurricane Laura,8/26/2020 0:00,GeoX,DR-4559,Automated AI damage assmts from 3D CAP WaldoAir I*,-93.2922516,30.1484165,
80082,898351,AFF,MUL,MOD,,CAT4,, ,Calcasieu,LA,22019,,,2020 Hurricane Laura,8/26/2020 0:00,GeoX,DR-4559,Automated AI damage assmts from 3D CAP WaldoAir I*,-93.2917175,30.1650047,
80350,898619,AFF,MUL,MOD,,CAT4,, ,Calcasieu,LA,22019,,,2020 Hurricane Laura,8/26/2020 0:00,GeoX,DR-4559,Automated AI damage assmts from 3D CAP WaldoAir I*,-93.2887268,30.1741962,
80374,898643,AFF,MUL,MOD,,CAT4,, ,Calcasieu,LA,22019,,,2020 Hurricane Laura,8/26/2020 0:00,GeoX,DR-4559,Automated AI damage assmts from 3D CAP WaldoAir I*,-93.2953644,30.1713886,
77501,895770,NOD,MUL,MOD,,CAT4,, ,Calcasieu,LA,22019,,,2020 Hurricane Laura,8/26/2020 0:00,GeoX,DR-4559,Automated AI damage assmts from 3D CAP WaldoAir I*,-93.2873688,30.1737614,
80077,898346,AFF,MUL,MOD,,CAT4,, ,Calcasieu,LA,22019,,,2020 Hurricane Laura,8/26/2020 0:00,GeoX,DR-4559,Automated AI damage assmts from 3D CAP WaldoAir I*,-93.2917175,30.1697998,
80238,898507,AFF,MUL,MOD,,CAT4,, ,Calcasieu,LA,22019,,,2020 Hurricane Laura,8/26/2020 0:00,GeoX,DR-4559,Automated AI damage assmts from 3D CAP WaldoAir I*,-93.2853165,30.1713409,
