sta lon lat
1204.csv -74.5316 39.3068
1205.csv -74.5316 39.3099
1206.csv -74.5316 39.3131
1207.csv -74.5316 39.3163
1208.csv -74.5316 39.3195
1209.csv -74.5316 39.3227
1210.csv -74.5316 39.3259
1211.csv -74.5316 39.329
1212.csv -74.5316 39.3322
1213.csv -74.5316 39.3354
1214.csv -74.5316 39.3386
1215.csv -74.5316 39.3418
1216.csv -74.5316 39.345
1217.csv -74.5316 39.3481
1218.csv -74.5316 39.3513
1219.csv -74.5316 39.3545
1220.csv -74.5316 39.3577
1221.csv -74.5316 39.3609
1222.csv -74.5316 39.3641
1223.csv -74.5316 39.3672
1224.csv -74.5316 39.3704
1225.csv -74.5316 39.3736
1226.csv -74.5316 39.3768
1227.csv -74.5316 39.38
1228.csv -74.5316 39.3832
1229.csv -74.5316 39.3863
1230.csv -74.5316 39.3895
1231.csv -74.5316 39.3927
1232.csv -74.5316 39.3959
1233.csv -74.5316 39.3991
1234.csv -74.5316 39.4023
1235.csv -74.5316 39.4054
1236.csv -74.5316 39.4086
1237.csv -74.5316 39.4118
1238.csv -74.5316 39.415
1239.csv -74.5316 39.4182
1240.csv -74.5316 39.4214
1241.csv -74.5316 39.4245
1242.csv -74.5316 39.4277
1243.csv -74.5316 39.4309
1244.csv -74.5316 39.4341
1245.csv -74.5316 39.4373
1246.csv -74.5316 39.4405
1247.csv -74.5316 39.4436
1248.csv -74.5316 39.4468
1249.csv -74.5316 39.45
1250.csv -74.5316 39.4532
1251.csv -74.527 39.2972
1252.csv -74.527 39.3004
1253.csv -74.527 39.3036
1254.csv -74.527 39.3068
1255.csv -74.527 39.3099
1256.csv -74.527 39.3131
1257.csv -74.527 39.3163
1258.csv -74.527 39.3195
1259.csv -74.527 39.3227
1260.csv -74.527 39.3259
1261.csv -74.527 39.329
1262.csv -74.527 39.3322
1263.csv -74.527 39.3354
1264.csv -74.527 39.3386
1265.csv -74.527 39.3418
1266.csv -74.527 39.345
1267.csv -74.527 39.3481
1268.csv -74.527 39.3513
1269.csv -74.527 39.3545
1270.csv -74.527 39.3577
1271.csv -74.527 39.3609
1272.csv -74.527 39.3641
1273.csv -74.527 39.3672
1274.csv -74.527 39.3704
1275.csv -74.527 39.3736
1276.csv -74.527 39.3768
1277.csv -74.527 39.38
1278.csv -74.527 39.3832
1279.csv -74.527 39.3863
1280.csv -74.527 39.3895
1281.csv -74.527 39.3927
1282.csv -74.527 39.3959
1283.csv -74.527 39.3991
1284.csv -74.527 39.4023
1285.csv -74.527 39.4054
1286.csv -74.527 39.4086
1287.csv -74.527 39.4118
1288.csv -74.527 39.415
1289.csv -74.527 39.4182
1290.csv -74.527 39.4214
1291.csv -74.527 39.4245
1292.csv -74.527 39.4277
1293.csv -74.527 39.4309
1294.csv -74.527 39.4341
1295.csv -74.527 39.4373
1296.csv -74.527 39.4405
1297.csv -74.527 39.4436
1298.csv -74.527 39.4468
1299.csv -74.527 39.45
1300.csv -74.527 39.4532
1301.csv -74.5224 39.2972
1302.csv -74.5224 39.3004
1303.csv -74.5224 39.3036
1304.csv -74.5224 39.3068
1305.csv -74.5224 39.3099
1306.csv -74.5224 39.3131
1307.csv -74.5224 39.3163
1308.csv -74.5224 39.3195
1309.csv -74.5224 39.3227
1310.csv -74.5224 39.3259
1311.csv -74.5224 39.329
1312.csv -74.5224 39.3322
1313.csv -74.5224 39.3354
1314.csv -74.5224 39.3386
1315.csv -74.5224 39.3418
1316.csv -74.5224 39.345
1317.csv -74.5224 39.3481
1318.csv -74.5224 39.3513
1319.csv -74.5224 39.3545
1320.csv -74.5224 39.3577
1321.csv -74.5224 39.3609
1322.csv -74.5224 39.3641
1323.csv -74.5224 39.3672
1324.csv -74.5224 39.3704
1325.csv -74.5224 39.3736
1326.csv -74.5224 39.3768
1327.csv -74.5224 39.38
1328.csv -74.5224 39.3832
1329.csv -74.5224 39.3863
1330.csv -74.5224 39.3895
1331.csv -74.5224 39.3927
1332.csv -74.5224 39.3959
1333.csv -74.5224 39.3991
1334.csv -74.5224 39.4023
1335.csv -74.5224 39.4054
1336.csv -74.5224 39.4086
1337.csv -74.5224 39.4118
1338.csv -74.5224 39.415
1339.csv -74.5224 39.4182
1340.csv -74.5224 39.4214
1341.csv -74.5224 39.4245
1342.csv -74.5224 39.4277
1343.csv -74.5224 39.4309
1344.csv -74.5224 39.4341
1345.csv -74.5224 39.4373
1346.csv -74.5224 39.4405
1347.csv -74.5224 39.4436
1348.csv -74.5224 39.4468
1349.csv -74.5224 39.45
1350.csv -74.5224 39.4532
1351.csv -74.5179 39.2972
1352.csv -74.5179 39.3004
1353.csv -74.5179 39.3036
1354.csv -74.5179 39.3068
1355.csv -74.5179 39.3099
1356.csv -74.5179 39.3131
1357.csv -74.5179 39.3163
1358.csv -74.5179 39.3195
1359.csv -74.5179 39.3227
1360.csv -74.5179 39.3259
1361.csv -74.5179 39.329
1362.csv -74.5179 39.3322
1363.csv -74.5179 39.3354
1364.csv -74.5179 39.3386
1365.csv -74.5179 39.3418
1366.csv -74.5179 39.345
1367.csv -74.5179 39.3481
1368.csv -74.5179 39.3513
1369.csv -74.5179 39.3545
1370.csv -74.5179 39.3577
1371.csv -74.5179 39.3609
1372.csv -74.5179 39.3641
1373.csv -74.5179 39.3672
1374.csv -74.5179 39.3704
1375.csv -74.5179 39.3736
1376.csv -74.5179 39.3768
1377.csv -74.5179 39.38
1378.csv -74.5179 39.3832
1379.csv -74.5179 39.3863
1380.csv -74.5179 39.3895
1381.csv -74.5179 39.3927
1382.csv -74.5179 39.3959
1383.csv -74.5179 39.3991
1384.csv -74.5179 39.4023
1385.csv -74.5179 39.4054
1386.csv -74.5179 39.4086
1387.csv -74.5179 39.4118
1388.csv -74.5179 39.415
1389.csv -74.5179 39.4182
1390.csv -74.5179 39.4214
1391.csv -74.5179 39.4245
1392.csv -74.5179 39.4277
1393.csv -74.5179 39.4309
1394.csv -74.5179 39.4341
1395.csv -74.5179 39.4373
1396.csv -74.5179 39.4405
1397.csv -74.5179 39.4436
1398.csv -74.5179 39.4468
1399.csv -74.5179 39.45
1400.csv -74.5179 39.4532
1401.csv -74.5133 39.2972
1402.csv -74.5133 39.3004
1403.csv -74.5133 39.3036
1404.csv -74.5133 39.3068
1405.csv -74.5133 39.3099
1406.csv -74.5133 39.3131
1407.csv -74.5133 39.3163
1408.csv -74.5133 39.3195
1409.csv -74.5133 39.3227
1410.csv -74.5133 39.3259
1411.csv -74.5133 39.329
1412.csv -74.5133 39.3322
1413.csv -74.5133 39.3354
1414.csv -74.5133 39.3386
1415.csv -74.5133 39.3418
1416.csv -74.5133 39.345
1417.csv -74.5133 39.3481
1418.csv -74.5133 39.3513
1419.csv -74.5133 39.3545
1420.csv -74.5133 39.3577
1421.csv -74.5133 39.3609
1422.csv -74.5133 39.3641
1423.csv -74.5133 39.3672
1424.csv -74.5133 39.3704
1425.csv -74.5133 39.3736
1426.csv -74.5133 39.3768
1427.csv -74.5133 39.38
1428.csv -74.5133 39.3832
1429.csv -74.5133 39.3863
1430.csv -74.5133 39.3895
1431.csv -74.5133 39.3927
1432.csv -74.5133 39.3959
1433.csv -74.5133 39.3991
1434.csv -74.5133 39.4023
1435.csv -74.5133 39.4054
1436.csv -74.5133 39.4086
1437.csv -74.5133 39.4118
1438.csv -74.5133 39.415
1439.csv -74.5133 39.4182
1440.csv -74.5133 39.4214
1441.csv -74.5133 39.4245
1442.csv -74.5133 39.4277
1443.csv -74.5133 39.4309
1444.csv -74.5133 39.4341
1445.csv -74.5133 39.4373
1446.csv -74.5133 39.4405
1447.csv -74.5133 39.4436
1448.csv -74.5133 39.4468
1449.csv -74.5133 39.45
1450.csv -74.5133 39.4532
1451.csv -74.5087 39.2972
1452.csv -74.5087 39.3004
1453.csv -74.5087 39.3036
1454.csv -74.5087 39.3068
1455.csv -74.5087 39.3099
1456.csv -74.5087 39.3131
1457.csv -74.5087 39.3163
1458.csv -74.5087 39.3195
1459.csv -74.5087 39.3227
1460.csv -74.5087 39.3259
1461.csv -74.5087 39.329
1462.csv -74.5087 39.3322
1463.csv -74.5087 39.3354
1464.csv -74.5087 39.3386
1465.csv -74.5087 39.3418
1466.csv -74.5087 39.345
1467.csv -74.5087 39.3481
1468.csv -74.5087 39.3513
1469.csv -74.5087 39.3545
1470.csv -74.5087 39.3577
1471.csv -74.5087 39.3609
1472.csv -74.5087 39.3641
1473.csv -74.5087 39.3672
1474.csv -74.5087 39.3704
1475.csv -74.5087 39.3736
1476.csv -74.5087 39.3768
1477.csv -74.5087 39.38
1478.csv -74.5087 39.3832
1479.csv -74.5087 39.3863
1480.csv -74.5087 39.3895
1481.csv -74.5087 39.3927
1482.csv -74.5087 39.3959
1483.csv -74.5087 39.3991
1484.csv -74.5087 39.4023
1485.csv -74.5087 39.4054
1486.csv -74.5087 39.4086
1487.csv -74.5087 39.4118
1488.csv -74.5087 39.415
1489.csv -74.5087 39.4182
1490.csv -74.5087 39.4214
